INFO:root:The followings are train results:
INFO:root:Epoch: 0
INFO:root:Epoch: 0 | update_interval: 0.8260181427001954 s | rate: 5.406917095184326 | distortion(mse): 0.1506449431180954 | rd_loss: 159.66732788085938
INFO:root:Epoch: 0 | update_interval: 0.5482753992080689 s | rate: 5.400521755218506 | distortion(mse): 0.1056130900979042 | rd_loss: 113.54833221435547
INFO:root:Epoch: 0 | update_interval: 0.45668209393819176 s | rate: 5.394097805023193 | distortion(mse): 0.08572514355182648 | rd_loss: 93.1766586303711
INFO:root:Epoch: 0 | update_interval: 0.4104204893112183 s | rate: 5.387718200683594 | distortion(mse): 0.07402796298265457 | rd_loss: 81.1923599243164
INFO:root:Epoch: 0 | update_interval: 0.3823878383636475 s | rate: 5.381392478942871 | distortion(mse): 0.06565236300230026 | rd_loss: 72.60940551757812
INFO:root:Epoch: 0 | update_interval: 0.3641217629114787 s | rate: 5.375085830688477 | distortion(mse): 0.06049366295337677 | rd_loss: 67.32060241699219
INFO:root:Epoch: 0 | update_interval: 0.35106541769845145 s | rate: 5.3687920570373535 | distortion(mse): 0.05602502077817917 | rd_loss: 62.7384147644043
INFO:root:Epoch: 0 | update_interval: 0.3413515269756317 s | rate: 5.362489223480225 | distortion(mse): 0.05246264487504959 | rd_loss: 59.084228515625
INFO:root:Epoch: 0 | update_interval: 0.33366406758626305 s | rate: 5.356184482574463 | distortion(mse): 0.04902244731783867 | rd_loss: 55.55516815185547
INFO:root:Epoch: 0 | update_interval: 0.32765954971313477 s | rate: 5.349879264831543 | distortion(mse): 0.0458485372364521 | rd_loss: 52.29877471923828
INFO:root:Epoch: 0 | update_interval: 0.32258618528192695 s | rate: 5.343581676483154 | distortion(mse): 0.04343707486987114 | rd_loss: 49.82313919067383
INFO:root:Epoch: 0 | update_interval: 0.31868945360183715 s | rate: 5.3372907638549805 | distortion(mse): 0.04123489186167717 | rd_loss: 47.56180953979492
INFO:root:Epoch: 0 | update_interval: 0.31516334827129655 s | rate: 5.331002712249756 | distortion(mse): 0.03931658715009689 | rd_loss: 45.5911865234375
